date,symbol,adv,dec,open,high,low,close,qty,trades,new_high,new_low,fiiIdxFutlong,fiiIdxFutshort,fiiIdxCElong,fiiIdxCEshort,fiiIdxPElong,fiiIdxPEshort,fiiStkFutlong,fiiStkFutshort,fiiStkCElong,fiiStkCEshort,fiiStkPElong,fiiStkPEshort,diiIdxFutlong,diiIdxFutshort,diiIdxCElong,diiIdxCEshort,diiIdxPElong,diiIdxPEshort,diiStkFutlong,diiStkFutshort,diiStkCElong,diiStkCEshort,diiStkPElong,diiStkPEshort,propIdxFutlong,propIdxFutshort,propIdxCElong,propIdxCEshort,propIdxPElong,propIdxPEshort,propStkFutlong,propStkFutshort,propStkCElong,propStkCEshort,propStkPElong,propStkPEshort
20150129T,CNX Nifty,726,791,8901.5,8966.65,8861.25,8952.35,11306.09,9281117.0,33,14,829727,100208,602346,282669,508105,207214,455777,1372475,5933,912,0,3366,8188,54784,220304.0,0,41813,0,17739,272725.0,487,0,0,0,39815,81134,244785.0,316163.0,323467.0,406682.0,168657.0,121185.0,23294,53691,23370,22019
20150130T,CNX Nifty,579,917,8996.6,8996.6,8775.1,8808.9,12991.61,9437868.0,29,12,846525,107435,610502,307548,587918,229350,453225,1419177,16332,11407,10855,9672,8188,58784,222304.0,0,39613,0,18539,283025.0,487,0,0,0,45793,89581,268166.0,394508.0,353070.0,423346.0,176369.0,135026.0,32394,78283,31406,33091
20150202T,CNX Nifty,879,630,8802.5,8840.8,8751.1,8797.4,10094.72,8435219.0,33,5,834586,100537,622629,327053,625099,224826,444498,1466514,19061,14657,14734,11393,8752,56064,224402.0,0,39613,0,18599,289809.0,487,0,0,0,39930,71183,304492.0,462901.0,367097.0,428555.0,186228.0,150469.0,38120,92673,35956,40603
20150203T,CNX Nifty,659,838,8823.15,8837.3,8726.65,8756.55,10452.66,8842495.0,45,9,824176,106464,645491,340651,656569,228286,428435,1498070,21587,18182,17191,12985,9069,51024,229728.0,0,47213,0,19327,288895.0,487,40,0,0,52315,71501,330811.0,542576.0,398427.0,456197.0,192137.0,150117.0,42797,109552,42096,43546
20150204T,CNX Nifty,645,848,8789.15,8792.85,8704.4,8723.7,10767.74,8478803.0,38,16,814090,89642,641388,350400,687581,229624,428190,1524153,22768,19778,17566,12694,9045,51024,232248.0,0,55349,0,19331,288375.0,537,40,0,0,54966,70613,328141.0,570103.0,420567.0,472371.0,193290.0,152916.0,45861,121965,47062,47727
20150205T,CNX Nifty,448,1058,8733.1,8838.45,8683.65,8711.7,9352.61,8053827.0,21,10,790546,89299,665209,348392,700911,236148,425956,1517229,24521,19807,17471,12980,9085,50784,232248.0,0,59901,0,19050,288786.0,537,50,0,0,68039,69963,322564.0,584649.0,460921.0,505044.0,192030.0,147476.0,47696,134562,52152,50245
20150206T,CNX Nifty,347,1158,8696.85,8726.2,8645.55,8661.05,9131.63,7512546.0,12,17,764573,92929,621930,387123,725362,236365,421864,1525078,25525,21545,18050,13817,9049,48944,233290.0,0,59401,0,18670,289584.0,537,60,0,0,80988,66944,330490.0,626364.0,454411.0,488588.0,194686.0,147901.0,50047,147216,56282,54250
20150209T,CNX Nifty,361,1140,8584.4,8605.55,8516.35,8526.35,8207.69,7468887.0,16,26,735364,139005,596649,411310,849722,281113,420233,1529778,29995,27483,18640,15335,9258,41384,236870.0,0,68050,0,19004,291747.0,50,80,0,0,86884,60296,313041.0,707405.0,474974.0,517255.0,210880.0,154380.0,49459,163840,62253,55618
20150210T,CNX Nifty,728,753,8478.1,8646.25,8470.5,8565.55,9503.4,8318988.0,12,23,737685,121784,614618,445781,894165,313224,424006,1531319,31612,29655,22613,18420,9280,39384,240120.0,0,56993,0,20306,292493.0,50,97,0,0,95049,55668,335113.0,780153.0,476124.0,510716.0,212452.0,162093.0,50638,171322,64995,60766
20150211T,CNX Nifty,1020,478,8603.3,8651.95,8593.65,8627.4,9020.53,7054686.0,14,12,727985,124173,586142,444678,911032,307575,423372,1531872,32602,30709,24699,18955,9660,39020,240380.0,0,56193,0,20806,295018.0,50,123,0,0,99556,58533,338663.0,738073.0,455230.0,535366.0,213851.0,169393.0,52870,171735,63671,65615
20150212T,CNX Nifty,931,549,8676.95,8732.55,8599.25,8711.55,10171.86,8363078.0,22,17,730468,155039,589259,453160,918277,302270,418766,1536060,34495,33641,25153,18440,9673,42000,240500.0,0,56849,0,21349,299668.0,50,131,0,0,112003,55110,368323.0,726627.0,452780.0,576639.0,218385.0,173643.0,55545,172183,64040,70783
