date,symbol,adv,dec,open,high,low,close,qty,trades,new_high,new_low,fiiIdxFutlong,fiiIdxFutshort,fiiIdxCElong,fiiIdxCEshort,fiiIdxPElong,fiiIdxPEshort,fiiStkFutlong,fiiStkFutshort,fiiStkCElong,fiiStkCEshort,fiiStkPElong,fiiStkPEshort,diiIdxFutlong,diiIdxFutshort,diiIdxCElong,diiIdxCEshort,diiIdxPElong,diiIdxPEshort,diiStkFutlong,diiStkFutshort,diiStkCElong,diiStkCEshort,diiStkPElong,diiStkPEshort,propIdxFutlong,propIdxFutshort,propIdxCElong,propIdxCEshort,propIdxPElong,propIdxPEshort,propStkFutlong,propStkFutshort,propStkCElong,propStkCEshort,propStkPElong,propStkPEshort
20141217T,CNX Nifty,523,1019,8041.2,8082.0,7961.35,8029.8,9911.25,9257684.0,10,53,654642,186087,793715,686743,1236071,359202,408623,1394652,26955,34069,17524,17726,13781,18366,294596.0,0,7600,0,22375,358480.0,1981,0,0,0,143964,73829,361861.0,954394.0,524643.0,688950.0,236730.0,207640.0,42077,203095,63124,55570
20141218T,CNX Nifty,1323,216,8138.9,8174.3,8084.9,8159.3,8091.0,7434791.0,16,13,670115,199823,833344,696726,1264010,353978,415398,1388879,24842,34006,18312,18428,11801,22679,292981.0,200,6320,200,23839,356377.0,1981,0,0,0,135163,63485,373330.0,893551.0,482833.0,708723.0,244059.0,214137.0,47148,197862,61150,61649
20141219T,CNX Nifty,815,709,8230.45,8263.45,8208.6,8225.2,8890.16,7835312.0,25,12,687716,221748,868876,679320,1326406,376782,421381,1383308,24977,34676,18468,18919,11274,29624,296371.0,0,5840,0,25975,353240.0,1981,0,0,0,141125,56092,366428.0,859151.0,511464.0,810323.0,253048.0,220833.0,50397,192923,61124,65927
20141222T,CNX Nifty,885,625,8255.0,8330.95,8228.2,8324.0,6386.1,6048373.0,17,14,787469,316241,856398,621846,1321909,383001,440449,1404836,22745,32994,18234,18932,11304,31683,292861.0,0,5440,0,26485,351926.0,1981,0,0,0,135690,60540,374844.0,814571.0,515457.0,924481.0,266833.0,240660.0,55084,186447,59902,70792
20141223T,CNX Nifty,488,1030,8324.6,8364.75,8252.85,8267.0,6922.48,6104795.0,20,10,856876,314069,773360,570645,1365970,333115,454817,1427730,23435,35124,16243,18213,11578,33027,285844.0,0,5200,0,24116,341331.0,1981,0,0,0,99482,70118,354356.0,928359.0,482718.0,930976.0,243091.0,219042.0,52948,188426,61691,69488
20141224T,CNX Nifty,715,784,8272.05,8286.4,8155.25,8174.1,10287.04,6016224.0,18,12,543997,75003,378463,263568,698881,113195,377842,1299300,2736,143,0,365,10145,26917,209912.0,0,7200,0,18628,302744.0,159,0,0,0,127309,52379,212099.0,403021.0,376819.0,385246.0,166622.0,147105.0,18339,42754,26701,18431
20141226T,CNX Nifty,775,746,8204.8,8234.55,8147.95,8200.7,5569.67,4381769.0,11,14,541208,74043,390398,265771,720361,105166,379782,1302809,9475,6556,7769,4723,13449,24917,208914.0,240,7212,240,18683,310045.0,1280,100,0,0,109106,54968,241685.0,423977.0,416352.0,434933.0,167464.0,141008.0,26332,54519,29904,25390
20141229T,CNX Nifty,945,580,8214.7,8279.15,8214.7,8246.3,6097.68,5118558.0,21,17,570628,73650,380656,265786,787206,111087,376554,1299249,11458,8349,11185,6713,14617,24706,209990.0,260,7212,260,20125,314642.0,1280,129,0,0,102582,53539,266947.0,432988.0,425944.0,501546.0,166866.0,142958.0,31120,60174,32750,29431
20141230T,CNX Nifty,775,738,8260.3,8268.25,8220.55,8248.25,6520.1,5404695.0,26,12,592390,74310,407059,267113,822977,123373,377215,1301505,12465,9855,13946,8330,14718,27106,209990.0,260,7212,260,20313,314290.0,1468,129,0,0,95640,56373,296385.0,470567.0,443493.0,543817.0,172607.0,144212.0,33461,66825,35252,33748
20150101T,CNX Nifty,1022,497,8272.8,8294.7,8248.75,8284.0,5787.24,4184579.0,38,11,604510,81589,440533,291597,874345,139146,377015,1299693,14084,11757,17116,10094,13514,27220,205478.0,320,7212,320,22402,314629.0,1468,129,0,0,71793,61433,336390.0,484385.0,437999.0,603141.0,174405.0,138766.0,38202,74676,36734,38398
20150102T,CNX Nifty,1051,488,8288.7,8410.6,8288.7,8395.45,8233.97,6261423.0,57,13,622785,79980,454928,292456,867084,150858,376960.7852,1293094.17,14457,11955,17840,10763,13488,28580,205478.0,320,5332,320,22688,317288.8521,1468,129,0,0,67656,64302,327496.0,432223.0,356756.0,562544.0,174868.7313,144750.9321,43838,76598,37714,45246
20150105T,CNX Nifty,768,762,8407.95,8445.6,8363.9,8378.4,7901.28,6163036.0,59,11,595979,80701,490399,308842,885753,184854,377746,1293336,17356,14600,20057,12933,12012,35426,205462.0,320,5654,320,23303,316488.0,1468,75,0,0,63308,61579,339785.0,467001.0,354763.0,558781.0,178894.0,145692.0,46142,85867,40063,49607
20150107T,CNX Nifty,646,892,8118.65,8151.2,8065.45,8102.1,8519.39,7410065.0,21,16,455217,89666,531041,420541,1054758,191131,379860,1292989,22679,17849,21158,16385,14430,22078,209327.0,320,9575,320,24662,308563.0,40,75,0,0,75040,72638,395556.0,717152.0,484514.0,645892.0,188621.0,138967.0,42525,109181,49371,51011
20150108T,CNX Nifty,1249,298,8191.4,8243.5,8167.3,8234.6,8289.75,7320292.0,40,12,453081,94231,549418,430624,1063656,187022,392079,1292383,23562,19092,23188,17711,11254,21862,209799.0,460,7855,460,25434,307910.0,40,75,0,0,69228,67943,390300.0,659534.0,454710.0,668155.0,190928.0,137070.0,46805,111704,49025,57353
20150109T,CNX Nifty,662,862,8285.45,8303.3,8190.8,8284.5,8278.51,7741162.0,48,5,435770,83075,572839,415236,1106586,228014,414137,1294067,24566,21184,24754,19649,11890,21247,209749.0,340,7855,340,25763,303974.0,28,39,0,0,63653,72251,372446.0,583933.0,446645.0,693656.0,191629.0,144214.0,49238,115474,49738,63237
20150112T,CNX Nifty,909,636,8291.35,8332.6,8245.6,8323.0,7484.22,6502076.0,43,8,445687,103525,582517,418849,1108095,230774,416066,1303722,25145,22289,25833,20079,11922,21007,209749.0,340,7855,340,25884,301613.0,28,39,0,0,60693,71207,380387.0,550368.0,442783.0,731026.0,195846.0,150523.0,51747,118276,49280,69531
20150113T,CNX Nifty,674,859,8346.15,8356.65,8267.9,8299.4,7989.04,7513948.0,35,8,479511,116107,615641,400046,1088384,239925,420219,1311811,25700,22641,26089,19964,12048,22025,210979.0,440,19855,340,26212,296156.0,28,39,0,0,51535,81744,414250.0,578828.0,457191.0,755502.0,199996.0,150339.0,50781,127357,52091,69634
20150114T,CNX Nifty,597,938,8307.25,8326.45,8236.65,8277.55,7843.33,7504236.0,43,10,483624,110319,628530,410574,1109144,248317,420509,1323421,26578,22728,26354,21341,11032,22271,210979.0,440,19855,340,26999,292494.0,28,39,0,0,46905,63602,420378.0,603130.0,454771.0,717049.0,205522.0,158382.0,51798,134777,54049,75547
20150115T,CNX Nifty,986,561,8424.5,8527.1,8380.55,8494.15,10784.81,8191512.0,46,10,640572,97602,744888,392956,1130312,244232,436477,1350379,26280,23561,27502,22837,12696,29201,210879.0,740,6175,0,26215,293778.0,28,39,0,0,50963,82577,475823.0,583762.0,491118.0,874964.0,205034.0,167511.0,63984,130832,51903,86230
20150116T,CNX Nifty,690,831,8504.05,8530.75,8452.25,8513.8,9546.83,8115902.0,37,11,606141,100981,779697,389080,1149761,279937,453597,1329607,26181,24093,28358,22741,12636,35721,212879.0,740,6175,0,25242,294565.0,28,44,5,0,57727,96126,449428.0,543360.0,446462.0,862651.0,206684.0,172729.0,63977,135580,51330,90619
20150119T,CNX Nifty,929,597,8550.05,8570.95,8531.5,8550.7,8990.13,6724987.0,60,10,607926,101436,791397,394772,1137042,299858,457583,1329921,25590,23812,29323,23261,9249,37161,215628.0,740,6175,0,25039,293920.0,28,64,5,0,53012,109816,478603.0,554054.0,476560.0,967461.0,212108.0,179838.0,65827,139159,51390,94391
20150120T,CNX Nifty,859,683,8575.1,8707.9,8574.5,8695.6,9150.05,7830246.0,55,9,704888,114695,888065,398426,1132067,349133,467248,1327154,24564,23375,28780,24471,9276,44761,216610.0,740,3575,0,25312,291517.0,28,109,5,0,60215,122870,482975.0,520436.0,492679.0,1084062.0,216533.0,195621.0,68946,134905,48822,100920
20150121T,CNX Nifty,627,917,8719.65,8741.85,8689.6,8729.5,9077.51,8649759.0,53,14,748527,130329,937227,390844,1112662,421396,474148,1331749,26157,24463,29848,24972,9165,47161,218210.0,740,3575,0,26065,288620.0,28,100,5,0,46223,111264,408211.0,471558.0,438916.0,1019171.0,223848.0,202051.0,72593,140005,50073,107055
20150122T,CNX Nifty,705,818,8745.85,8774.15,8727.0,8761.4,10100.99,8035528.0,53,13,784162,121306,913785,418628,1131423,465013,467422,1340091,26752,25522,32219,25374,10161,47161,218410.0,740,30075,0,25849,289740.0,28,100,5,0,47093,109811,453855.0,529657.0,490014.0,1064642.0,228694.0,215229.0,74317,141985,51864,110491
20150123T,CNX Nifty,524,1021,8827.95,8866.4,8795.4,8835.6,10263.05,8874853.0,47,14,845224,124952,923747,443859,1120337,484450,470073,1349829,25346,26158,33407,27884,10161,51161,217534.0,600,37755,0,26415,291039.0,28,158,5,0,48503,124893,407152.0,501214.0,456837.0,1079467.0,232412.0,224346.0,73388,137416,52751,113425
20150127T,CNX Nifty,728,812,8871.35,8925.05,8825.45,8910.5,9068.26,8922297.0,62,16,928038,135031,943383,428608,1110412,495049,504237,1408372,24589,28504,32094,29253,10153,57361,216954.0,600,39555,0,26157,290951.0,28,158,5,0,62308,133148,428869.0,505873.0,449471.0,1201862.0,239645.0,234510.0,74540,143698,54175,119319
20150128T,CNX Nifty,551,985,8902.75,8985.05,8874.05,8914.3,9804.72,8798605.0,44,12,997482,265599,995930,418941,1133118,574112,532965,1450918,24920,28632,31364,27954,10075,59761,219504.0,0,40788,0,25229,289767.0,28,158,5,0,110750,103230,393669.0,592752.0,553475.0,1257615.0,235515.0,222641.0,76090,152775,58466,120667
