date,symbol,adv,dec,open,high,low,close,qty,trades,new_high,new_low
2016-11-29,Nifty 50,1030,594,8131.55,8197.35,8128.70,8142.15,9005.39,8521846.0,21,5
2016-11-30,Nifty 50,1134,446,8172.15,8234.25,8139.25,8224.50,13040.83,10424440.0,25,3
2016-12-01,Nifty 50,583,1034,8244.00,8250.80,8185.05,8192.90,8888.2,7580311.0,23,6
2016-12-02,Nifty 50,351,1262,8153.55,8159.30,8070.05,8086.80,8337.41,7769790.0,16,12
2016-12-05,Nifty 50,915,696,8088.75,8141.90,8056.85,8128.75,6782.88,6677184.0,19,10
2016-12-06,Nifty 50,936,683,8153.15,8178.70,8130.85,8143.15,7879.06,6607101.0,22,8
2016-12-07,Nifty 50,567,1041,8168.40,8190.45,8077.50,8102.05,8268.97,7021445.0,24,6
2016-12-08,Nifty 50,1265,348,8152.10,8256.25,8151.75,8246.85,7853.94,7824210.0,15,5
2016-12-09,Nifty 50,853,766,8271.70,8274.95,8241.95,8261.75,8719.03,7403032.0,21,10
2016-12-12,Nifty 50,526,1061,8230.65,8230.65,8154.45,8170.80,7084.5,6708322.0,17,10
2016-12-13,Nifty 50,786,824,8196.15,8228.85,8155.80,8221.80,7956.45,7325395.0,21,7
2016-12-14,Nifty 50,470,1131,8229.35,8229.40,8165.10,8182.45,7599.45,7501927.0,16,6
2016-12-15,Nifty 50,781,805,8128.40,8225.90,8121.95,8153.60,7960.17,7486692.0,16,10
2016-12-16,Nifty 50,597,992,8178.20,8178.70,8127.45,8139.45,7818.05,7747065.0,15,15
2016-12-19,Nifty 50,601,1020,8126.00,8132.50,8094.85,8104.35,6409.1,6430939.0,17,14
2016-12-20,Nifty 50,432,1186,8110.60,8124.10,8062.75,8082.40,7325.24,6808488.0,15,19
2016-12-21,Nifty 50,693,904,8105.85,8112.55,8053.25,8061.30,7127.33,6691113.0,11,18
2016-12-22,Nifty 50,291,1329,8043.85,8046.45,7964.95,7979.10,6763.35,6385308.0,7,18
2016-12-23,Nifty 50,738,867,7972.50,8022.60,7942.05,7985.75,7302.97,6815658.0,6,22
2016-12-26,Nifty 50,245,1388,7965.10,7970.05,7893.80,7908.25,6625.4,5951623.0,5,39
2016-12-27,Nifty 50,1175,423,7915.05,8044.65,7903.70,8032.85,7086.1,6070032.0,10,22
2016-12-28,Nifty 50,1007,577,8047.55,8100.55,8028.40,8034.85,7272.14,6858424.0,9,11
2016-12-29,Nifty 50,1080,510,8030.60,8111.10,8020.80,8103.60,9960.16,7004670.0,9,9
2016-12-30,Nifty 50,1154,444,8119.65,8197.00,8114.75,8185.80,8182.99,6443783.0,8,5
2017-01-02,Nifty 50,1196,434,8210.10,8212.00,8133.80,8179.50,7873.7,5550008.0,9,10
2017-01-03,Nifty 50,1167,472,8196.05,8219.10,8148.60,8192.25,8493.17,6770077.0,21,3
2017-01-04,Nifty 50,944,659,8202.65,8218.50,8180.90,8190.50,9985.45,8100545.0,20,1
2017-01-05,Nifty 50,1190,437,8226.65,8282.65,8223.70,8273.80,10518.44,8469294.0,20,1
2017-01-06,Nifty 50,612,1011,8281.85,8306.85,8233.25,8243.80,9479.56,7704893.0,18,3
2017-01-09,Nifty 50,875,752,8259.35,8263.00,8227.75,8236.05,7633.93,6448456.0,16,3
2017-01-10,Nifty 50,976,636,8262.70,8293.80,8261.00,8288.60,9112.65,7465144.0,17,7
2017-01-11,Nifty 50,1085,546,8327.80,8389.00,8322.25,8380.65,11047.28,8536513.0,24,6
2017-01-12,Nifty 50,635,1009,8391.05,8417.20,8382.30,8407.20,10136.04,7566068.0,22,8
2017-01-13,Nifty 50,696,916,8457.65,8461.05,8373.15,8400.35,8873.88,7416104.0,23,3
2017-01-16,Nifty 50,943,674,8390.95,8426.70,8374.40,8412.80,7993.36,6692898.0,32,6
2017-01-17,Nifty 50,794,836,8415.05,8440.90,8378.30,8398.00,8323.12,7014933.0,23,4
2017-01-18,Nifty 50,915,706,8403.85,8460.30,8397.40,8417.00,9265.44,7959356.0,28,4
2017-01-19,Nifty 50,840,780,8418.40,8445.15,8404.05,8435.10,9829.22,7234104.0,38,4
2017-01-20,Nifty 50,374,1265,8404.35,8423.65,8340.95,8349.35,11498.96,7993044.0,27,10
2017-01-23,Nifty 50,991,637,8329.60,8404.15,8327.20,8391.50,8671.86,6925240.0,35,14
2017-01-24,Nifty 50,1002,614,8407.05,8480.95,8398.15,8475.80,9308.07,7981603.0,39,12
2017-01-25,Nifty 50,966,651,8499.45,8612.60,8493.95,8602.75,13751.71,9472111.0,47,7
2017-01-27,Nifty 50,820,836,8610.50,8672.70,8606.90,8641.25,12942.37,8897658.0,49,11
2017-01-30,Nifty 50,651,989,8635.55,8662.60,8617.75,8632.75,11761.93,7528573.0,30,11
2017-01-31,Nifty 50,396,1245,8629.45,8631.75,8552.40,8561.30,19317.19,9423671.0,30,11
2017-02-01,Nifty 50,1177,446,8570.35,8722.40,8537.50,8716.40,16093.98,9930025.0,26,6
